iter	Passed	Remaining
377	6579	10825
378	6595	10807
379	6613	10790
380	6629	10771
381	6645	10750
382	6660	10730
383	6677	10711
384	6693	10692
385	6709	10672
386	6725	10652
387	6741	10633
388	6757	10614
389	6773	10594
390	6790	10576
391	6807	10557
392	6822	10537
393	6841	10522
394	6861	10510
395	6879	10493
396	6897	10476
397	6915	10460
398	6932	10442
399	6949	10424
400	6966	10405
401	6982	10387
402	6999	10368
403	7016	10350
404	7032	10331
405	7049	10313
406	7066	10296
407	7081	10275
408	7098	10257
409	7115	10239
410	7131	10220
411	7148	10202
412	7165	10184
413	7181	10164
414	7198	10146
415	7215	10129
416	7230	10108
417	7246	10089
418	7263	10071
419	7280	10054
420	7296	10035
421	7313	10016
422	7330	9999
423	7347	9982
424	7364	9963
425	7380	9945
426	7397	9926
427	7414	9909
428	7432	9892
429	7447	9872
430	7463	9853
431	7479	9834
432	7495	9814
433	7509	9793
434	7525	9774
435	7545	9760
436	7563	9743
437	7580	9726
438	7598	9710
439	7615	9692
440	7632	9674
441	7648	9655
442	7664	9637
443	7683	9621
444	7700	9603
445	7716	9584
446	7731	9564
447	7747	9545
448	7764	9527
449	7779	9508
450	7796	9491
451	7813	9473
452	7830	9455
453	7846	9436
454	7864	9420
455	7881	9402
456	7897	9383
457	7914	9366
458	7931	9348
459	7947	9330
460	7964	9312
461	7980	9293
462	7997	9275
463	8013	9257
464	8032	9241
465	8049	9223
466	8066	9206
467	8084	9189
468	8099	9170
469	8115	9151
470	8129	9131
471	8146	9113
472	8163	9095
473	8179	9076
474	8195	9058
475	8211	9039
476	8228	9022
477	8244	9003
478	8260	8984
479	8278	8967
480	8293	8948
481	8309	8930
482	8325	8912
483	8342	8893
484	8358	8875
485	8374	8857
486	8392	8840
487	8408	8822
488	8426	8805
489	8443	8787
490	8460	8770
491	8478	8754
492	8495	8736
493	8511	8718
494	8529	8702
495	8549	8687
496	8566	8670
497	8582	8651
498	8599	8633
499	8617	8617
500	8633	8599
501	8649	8580
502	8665	8562
503	8680	8543
504	8697	8525
505	8715	8508
506	8730	8489
507	8747	8471
508	8764	8454
509	8780	8436
510	8796	8417
511	8813	8399
512	8830	8382
513	8845	8363
514	8861	8345
515	8879	8328
516	8897	8312
517	8915	8295
518	8934	8280
519	8951	8263
520	8968	8245
521	8984	8227
522	9001	8209
523	9019	8193
524	9037	8176
525	9054	8159
526	9071	8142
527	9088	8124
528	9103	8105
529	9120	8088
530	9136	8070
531	9154	8053
532	9170	8035
533	9187	8017
534	9203	7999
535	9219	7981
536	9236	7963
537	9252	7945
538	9267	7926
539	9286	7910
540	9302	7892
541	9319	7874
542	9334	7856
543	9350	7837
544	9365	7819
545	9382	7801
546	9398	7783
547	9414	7765
548	9432	7748
549	9450	7731
550	9466	7713
551	9484	7697
552	9500	7679
553	9522	7665
554	9538	7648
555	9556	7631
556	9571	7612
557	9588	7594
558	9603	7576
559	9619	7558
560	9636	7540
561	9652	7522
562	9668	7504
563	9685	7487
564	9702	7469
565	9717	7451
566	9733	7433
567	9750	7415
568	9766	7397
569	9782	7379
570	9798	7361
571	9814	7343
572	9831	7326
573	9848	7308
574	9864	7291
575	9880	7273
576	9898	7256
577	9914	7238
578	9930	7220
579	9947	7203
580	9964	7186
581	9982	7169
582	9998	7151
583	10017	7135
584	10034	7118
585	10049	7100
586	10067	7082
587	10085	7067
588	10102	7049
589	10117	7030
590	10133	7012
591	10148	6994
592	10165	6976
593	10181	6959
594	10198	6941
595	10215	6924
596	10232	6907
597	10249	6890
598	10267	6873
599	10284	6856
600	10301	6839
601	10318	6821
602	10334	6804
603	10351	6786
604	10368	6769
605	10384	6751
606	10402	6734
607	10417	6716
608	10433	6698
609	10450	6681
610	10468	6664
611	10485	6647
612	10510	6635
613	10528	6618
614	10544	6601
615	10562	6584
616	10580	6567
617	10598	6551
618	10618	6535
619	10634	6517
620	10651	6500
621	10668	6483
622	10684	6465
623	10702	6448
624	10717	6430
625	10732	6412
626	10749	6394
627	10766	6377
628	10783	6360
629	10802	6344
630	10819	6327
631	10836	6309
632	10852	6291
633	10870	6275
634	10887	6258
635	10904	6240
636	10920	6222
637	10936	6205
638	10953	6188
639	10970	6170
640	10987	6153
641	11004	6136
642	11026	6121
643	11042	6104
644	11057	6086
645	11073	6068
646	11090	6050
647	11106	6033
648	11123	6015
649	11139	5998
650	11156	5980
651	11172	5963
652	11188	5945
653	11204	5927
654	11220	5910
655	11236	5892
656	11253	5875
657	11270	5857
658	11287	5840
659	11304	5823
660	11320	5805
661	11336	5788
662	11352	5770
663	11368	5752
664	11385	5735
665	11401	5717
666	11417	5700
667	11432	5682
668	11448	5664
669	11465	5647
670	11483	5630
671	11502	5614
672	11520	5597
673	11537	5580
674	11556	5564
675	11572	5546
676	11589	5529
677	11607	5512
678	11624	5495
679	11641	5478
680	11659	5461
681	11675	5443
682	11692	5426
683	11710	5409
684	11726	5392
685	11743	5375
686	11759	5357
687	11776	5340
688	11794	5323
689	11810	5306
690	11828	5289
691	11845	5272
692	11862	5254
693	11877	5237
694	11894	5219
695	11909	5201
696	11925	5184
697	11941	5166
698	11958	5149
699	11976	5132
700	11994	5116
701	12010	5098
702	12026	5081
703	12044	5064
704	12077	5053
705	12098	5038
706	12117	5021
707	12134	5004
708	12152	4987
709	12168	4970
710	12184	4952
711	12205	4936
712	12221	4919
713	12238	4902
714	12256	4885
715	12272	4867
716	12288	4850
717	12305	4833
718	12321	4815
719	12337	4798
720	12354	4780
721	12370	4763
722	12386	4745
723	12403	4728
724	12418	4710
725	12435	4693
726	12451	4675
727	12467	4658
728	12485	4641
729	12503	4624
730	12523	4608
731	12539	4590
732	12555	4573
733	12572	4556
734	12589	4539
735	12606	4521
736	12623	4504
737	12639	4487
738	12656	4470
739	12673	4452
740	12689	4435
741	12706	4418
742	12722	4400
743	12738	4383
744	12755	4365
745	12771	4348
746	12787	4331
747	12804	4313
748	12819	4295
749	12836	4278
750	12853	4261
751	12870	4244
752	12886	4227
753	12903	4209
754	12922	4193
755	12940	4176
756	12958	4159
757	12980	4144
758	12996	4126
759	13014	4109
760	13030	4092
761	13048	4075
762	13066	4058
763	13082	4041
764	13100	4024
765	13117	4007
766	13134	3989
767	13150	3972
768	13166	3955
769	13183	3937
770	13199	3920
771	13216	3903
772	13232	3885
773	13248	3868
774	13265	3851
775	13281	3833
776	13298	3816
777	13314	3799
778	13331	3782
779	13348	3765
780	13364	3747
781	13380	3730
782	13397	3712
783	13412	3695
784	13429	3678
785	13444	3660
786	13462	3643
787	13483	3627
788	13500	3610
789	13519	3593
790	13536	3576
791	13552	3559
792	13570	3542
793	13586	3524
794	13602	3507
795	13619	3490
796	13638	3473
797	13655	3456
798	13671	3439
799	13687	3421
800	13704	3404
801	13720	3387
802	13738	3370
803	13754	3353
804	13772	3336
805	13790	3319
806	13808	3302
807	13825	3285
808	13845	3268
809	13861	3251
810	13877	3234
811	13895	3217
812	13910	3199
813	13928	3182
814	13944	3165
815	13964	3148
816	13983	3132
817	14001	3115
818	14016	3097
819	14032	3080
820	14049	3063
821	14065	3045
822	14080	3028
823	14097	3011
824	14113	2993
825	14132	2977
826	14150	2960
827	14168	2943
828	14187	2926
829	14203	2909
830	14219	2891
831	14236	2874
832	14252	2857
833	14270	2840
834	14287	2823
835	14305	2806
836	14323	2789
837	14339	2772
838	14359	2755
839	14375	2738
840	14391	2720
841	14408	2703
842	14425	2686
843	14441	2669
844	14461	2652
845	14479	2635
846	14496	2618
847	14512	2601
848	14530	2584
849	14553	2568
850	14572	2551
851	14589	2534
852	14606	2517
853	14624	2500
854	14641	2483
855	14658	2465
856	14677	2449
857	14693	2431
858	14710	2414
859	14727	2397
860	14743	2380
861	14760	2363
862	14777	2345
863	14794	2328
864	14814	2312
865	14836	2295
866	14856	2279
867	14876	2262
868	14896	2245
869	14917	2228
870	14937	2212
871	14959	2195
872	14980	2179
873	14999	2162
874	15018	2145
875	15037	2128
876	15057	2111
877	15077	2095
878	15097	2078
879	15119	2061
880	15137	2044
881	15156	2027
882	15176	2010
883	15197	1994
884	15218	1977
885	15238	1960
886	15255	1943
887	15271	1926
888	15289	1908
889	15304	1891
890	15321	1874
891	15338	1857
892	15354	1839
893	15371	1822
894	15393	1805
895	15409	1788
896	15426	1771
897	15445	1754
898	15463	1737
899	15481	1720
900	15498	1702
901	15514	1685
902	15530	1668
903	15546	1650
904	15564	1633
905	15580	1616
906	15596	1599
907	15612	1581
908	15630	1564
909	15647	1547
910	15665	1530
911	15682	1513
912	15699	1495
913	15716	1478
914	15737	1461
915	15755	1444
916	15771	1427
917	15788	1410
918	15805	1393
919	15821	1375
920	15838	1358
921	15855	1341
922	15980	1333
923	16029	1318
924	16070	1303
925	16088	1285
926	16104	1268
927	16124	1251
928	16140	1233
929	16156	1216
930	16172	1198
931	16189	1181
932	16205	1163
933	16221	1146
934	16238	1128
935	16257	1111
936	16276	1094
937	16291	1076
938	16308	1059
939	16324	1042
940	16341	1024
941	16357	1007
942	16374	989
943	16390	972
944	16406	954
945	16423	937
946	16443	920
947	16459	902
948	16476	885
949	16493	868
950	16509	850
951	16527	833
952	16544	815
953	16561	798
954	16577	781
955	16593	763
956	16610	746
957	16626	728
958	16642	711
959	16658	694
960	16675	676
961	16691	659
962	16707	641
963	16725	624
964	16742	607
965	16759	589
966	16778	572
967	16795	555
968	16811	537
969	16828	520
970	16844	503
971	16860	485
972	16876	468
973	16891	450
974	16910	433
975	16927	416
976	16946	398
977	16964	381
978	16982	364
979	16998	346
980	17016	329
981	17033	312
982	17052	294
983	17069	277
984	17085	260
985	17101	242
986	17119	225
987	17137	208
988	17153	190
989	17169	173
990	17185	156
991	17202	138
992	17220	121
993	17235	104
994	17251	86
995	17267	69
996	17283	52
997	17302	34
998	17319	17
999	17335	0
