iter	RMSE
0	49.01674902
1	46.73343063
2	44.73987973
3	42.74388556
4	40.89873126
5	39.17759588
6	37.56479238
7	36.08176633
8	34.61293526
9	33.27506409
10	32.08897868
11	30.93345787
12	29.915058
13	28.90545992
14	27.96352984
15	27.13967994
16	26.33772361
17	25.58569598
18	24.85864729
19	24.22850692
20	23.61943594
21	23.08144209
22	22.5611853
23	22.11098537
24	21.6055018
25	21.17635438
26	20.80791621
27	20.44615861
28	20.130309
29	19.80915985
30	19.50670101
31	19.24354892
32	19.01073173
33	18.77507166
34	18.54461956
35	18.31101189
36	18.09023294
37	17.90066153
38	17.71771592
39	17.53994871
40	17.37073395
41	17.23587155
42	17.09687838
43	16.96020216
44	16.79746675
45	16.6888258
46	16.55521481
47	16.46884584
48	16.34441875
49	16.24140198
50	16.13442107
51	16.03901867
52	15.94197424
53	15.86468
54	15.79459989
55	15.73200953
56	15.65225082
57	15.59002763
58	15.53832017
59	15.47606717
60	15.41819252
61	15.35298289
62	15.30099874
63	15.25166072
64	15.2046091
65	15.16039834
66	15.1186967
67	15.07512019
68	15.03251492
69	14.99898359
70	14.96258596
71	14.93462246
72	14.88461134
73	14.84374578
74	14.81762321
75	14.78434822
76	14.74472994
77	14.69111108
78	14.6493424
79	14.60347423
80	14.57591934
81	14.55183589
82	14.53090734
83	14.4963539
84	14.46201243
85	14.43260113
86	14.40741688
87	14.36667529
88	14.34208088
89	14.32751292
90	14.29023379
91	14.26629427
92	14.24059842
93	14.21385084
94	14.17543959
95	14.15349506
96	14.1321039
97	14.10654599
98	14.08695741
99	14.06787406
100	14.03782931
101	14.01178523
102	13.98864105
103	13.96956609
104	13.95117702
105	13.92439474
106	13.91287041
107	13.88667267
108	13.86770468
109	13.83843754
110	13.8072439
111	13.78393201
112	13.75307437
113	13.73672328
114	13.7231722
115	13.70219767
116	13.68252761
117	13.67170674
118	13.65929303
119	13.63311437
120	13.60952644
121	13.58992381
122	13.56431168
123	13.53455411
124	13.52178856
125	13.51089682
