feature,mean_abs_shap
num__hour_sin,9.164423878773155
num__humidity_pm2_5,6.242556363815746
num__pm2_5_change_rate,5.9619197260327645
num__month_cos,4.549098509680359
num__pm2_5_avg_3h,3.877019776716427
num__ozone_lag_1h,3.6739507447593787
num__pm2_5_lag_1h,3.505957204636855
num__temp_pm2_5,3.005880964947522
num__sulphur_dioxide,2.5363836294784
num__pm2_5_max_6h,2.367888194525369
num__pm2_5_max_12h,2.357319219959171
num__pm2_5_mean_6h,1.948301729558001
