feature,mean_abs_shap
num__pm10_max_12h,15.299166972511165
num__pm10_change_rate,9.654006951917996
num__hour,9.588370579882696
num__pm10_max_6h,7.905333234884257
num__pm10_min_12h,6.6664653395760425
num__ozone_lag_3h,5.846849663633899
num__temp_pm2_5,5.47684215779398
num__pm2_5_max_12h,5.095952726040216
num__pm10_lag_1h,5.089004512441962
num__pm2_5_min_6h,4.9813260218618876
num__relative_humidity_2m_lag_168h,4.461268558862464
num__pm2_5_mean_6h,4.398462575362497
