feature,mean_importance
num__pm10_lag_1h,0.40290418797177646
num__pm10_change_rate,0.14314375527558437
num__pm10_max_6h,0.08169983817872664
num__hour_sin,0.042089993968468575
num__pm10_max_12h,0.023473711011739607
num__temp_pm2_5,0.018179954669277333
num__ozone_change_rate,0.01725959924491156
num__pm_ratio,0.014579191910859168
num__pm2_5_change_rate,0.010114432326316324
num__pm10_min_6h,0.009215258984050933
num__pm2_5_min_6h,0.009116277811280504
num__pm10_lag_24h,0.008012085691426685
