feature,mean_importance
num__hour,0.2815997633044412
num__pm2_5_max_12h,0.22875057861373999
num__month_cos,0.06018204472723128
num__wind_speed_10m,0.03153011641990737
num__temp_pm2_5,0.028520069005052127
num__sulphur_dioxide,0.02676535559132378
num__pm2_5_min_12h,0.025844064610821428
num__pm2_5_change_rate,0.025713962687113325
num__hour_cos,0.02256567718252809
num__pm2_5_min_6h,0.022507074798992145
num__nitrogen_dioxide,0.022373774352239507
num__pm10_max_12h,0.009651343174742899
